Closing Price,Volume,Previous Day High,Previous Day Low,Next Day Opening Price
149.8,4155,154.82,134.59,152.66
144.62,9528,146.78,138.99,140.9
360.37,9246,370.01,354.86,358.29
105.18,2116,123.38,96.95,102.13
364.27,5203,365.35,362.91,367.97
412.79,7994,425.73,396,409.27
221,4421,238.71,212.97,221.36
398.28,7552,401.32,396,396.03
166.15,3793,184.58,148.58,166.23
484.2,6327,500.75,464.81,480.87
192.83,5945,197.9,179.54,195.4
295.35,5584,313.55,287.57,296.78
492.2,5168,508.47,483.34,487.63
462.86,3867,465.97,456.99,467.33
363.79,1447,380.57,349.27,367.72
247.68,7949,258.98,239.91,245.65
380.04,8979,396.54,378.42,377.95
284.11,9022,296.85,282.23,284.1
143.54,8402,151.98,130.86,144.73
418.39,8893,430.81,411.87,416.3
448.64,4287,461.73,444.44,451.6
263.04,1165,278.6,251.55,258.83
366.29,1433,383.07,360,365.27
112.15,2819,125.75,109.75,112.7
178.9,5165,198.7,174.22,181.9
328.11,9734,343.9,312.33,331.82
209.63,3232,227.94,192.44,207.08
477.75,1139,484.82,460.17,475.16
434.82,4334,441.83,423.66,433.5
362,5251,369.89,342.93,361.28
499.54,8955,508.89,495.65,503.02
197.3,5416,216.57,183.41,192.37
467.65,7281,470.05,453.27,469.5
221.83,9082,232.3,219.82,219.03
338.64,9393,342.7,332.27,342.46
273.75,5185,290.15,254.71,271.92
277.29,6568,278.88,261.86,277.66
405,2469,414.65,402.96,403.29
239.02,5896,247.52,227.74,238.27
303.01,1985,305.76,289.69,303.23
184.69,4553,192.84,165.2,187.16
405.39,9868,421.76,390.78,401.6
320.77,5748,324.38,307.64,319.29
202.03,9029,221.71,183.76,203.42
206.37,4049,208.48,192.82,207.26
217.41,2889,223.91,198.7,220.22
379.72,2828,395.44,369.35,383.61
338.04,8197,345.83,323.38,333.98
428.9,8381,439.02,415.89,431.04
328.61,9955,333.16,317.11,326.45
222.66,7311,237.26,215.5,222.48
485.15,5750,489.56,466.98,486.43
454.44,2359,471.57,448.31,450.95
211.53,1084,222.78,207.5,209.99
465.08,4175,476.49,450.55,469.84
388.05,2141,406.79,376.67,384.41
265.88,2061,281.56,259.88,261.71
286.75,7624,301.87,269.21,290.12
278.55,5231,295.86,272.11,277.86
418.75,9267,421.49,416.53,420.49
170.2,7438,185,168.91,168.26
123.47,1315,128.9,104.93,120.45
299.38,9688,305.72,290.74,296.51
216.16,9812,217.45,211.11,213.12
325.57,4639,343.55,313.79,323.04
491.28,9209,506.32,481.01,488.49
368.58,5527,372.23,348.58,371.72
483.69,9807,490.92,465.81,484.02
392.82,1148,402.94,386.67,390.79
130.37,5535,140.75,116.11,128.82
455.72,5314,468.04,447.36,460.3
179.57,7149,189.54,171.64,176.41
445.92,9862,459.24,437.94,449.78
399.63,4681,417.43,386.49,402
435.45,7982,444.01,424.23,436.58
201.43,3942,219.09,186.09,202.67
422.96,7005,428.13,419.05,422.19
344.14,6560,347.45,335.06,343.53
132.75,1883,138.3,115.4,135.71
455.65,3671,460.58,454.59,458.76
450.72,6186,470.44,437.88,451.44
328.8,6946,337.04,312.87,331.48
281.05,3562,294.43,272.76,284.15
260.22,2901,274.44,242.43,258.54
341.09,9346,350.55,326.12,342.33
436.68,8680,441.92,424.16,436.03
326.37,6454,335.69,321.6,322.35
151.86,1387,161.86,138.13,153.35
222.47,1003,241.59,205.63,223.34
367.3,3427,379.1,352.43,363.32
358.73,2034,378.16,346.81,354.44
307.56,1715,319.52,292.98,305.06
196.19,8886,199.95,176.63,199.53
208.23,2532,216.54,207.03,203.87
293.7,7328,309.75,280.09,293.3
257.8,2902,266.81,241.73,254.59
226.37,1921,229.27,213.24,223.91
431.78,1693,434.61,425.59,434.48
301.61,9858,307.11,284.98,305.11
301.23,2251,312.96,282.87,302.03
271.22,1101,288,257.24,274.85
372.36,6813,383.5,361.65,375.93
170.26,2800,185.44,162.3,167.48
477.44,1071,490.7,470.16,478.89
141.85,8666,152.8,127.1,144.63
384.12,1883,389.2,371.58,384.73
381.72,4049,399.5,377.74,384.78
145.58,4903,151.81,141.89,146.86
497.22,8408,503.02,494.87,495.06
113.73,8956,119.62,99.74,115.58
245.88,2433,248.69,238.9,246.76
269.91,8822,280.38,268.52,271.16
421.12,6546,428.35,413.71,417.08
111.93,6848,122.84,95.12,108.18
322.81,6647,332.42,317.1,325.95
181.6,7690,192.48,168.56,180.91
329.04,4211,335.69,319.68,326.19
358.54,9119,375.03,347.11,354.47
113.66,8919,124.81,101.34,111.29
126.99,1307,131.95,117.34,124.94
134.09,5487,152.22,131.99,138.92
440.91,1086,443.99,429.12,444.26
470.67,6498,485.6,462.11,466.45
275.09,8210,288.98,270.29,277.57
449.92,1865,452.3,431.88,450.56
290.48,9344,308.61,275.5,287.77
260.45,7615,267.46,254.05,262.92
312.5,3711,327.57,301.26,307.8
416.07,1617,422.34,396.78,418.39
189.51,4921,200.49,183.84,193.46
220.69,1937,240.17,201.69,224.52
439.55,2614,452.15,425.57,442.27
466.39,6230,473.02,455.11,470.74
149.2,8435,158.91,129.52,151.28
381.97,3524,395.82,374.63,383.84
103.85,4731,113.31,97.56,99.11
198.47,7530,216.78,191.02,195.22
127.45,4407,144.93,112.18,130.27
306.16,4654,309.95,298.75,311.13
237.35,2264,253.27,234.4,239.55
155.04,5323,173.94,141.79,155.83
100.13,2685,107.15,94.89,96.96
255.35,5168,260.88,254.28,259.83
217.79,2552,218.97,213,219.29
118.68,5318,121.87,102.11,118.57
440.71,6645,459.96,421.84,444.32
264.31,1484,272.74,250.73,268.84
409.91,6804,418.27,403.01,408.63
268.82,7409,274.88,259.52,268.97
127.01,7359,131.12,122.31,123.16
257.71,7897,268.37,239.97,262.3
454.45,8349,469.19,440.81,450.66
103.11,6248,114.57,100.51,107.4
458.12,3612,459.79,450.15,455.03
362.69,6983,378.96,351.47,366.78
498.25,4791,516.95,482.1,497.78
466.45,9274,475.81,447.96,467.37
447.58,4096,455.54,444.06,442.94
115,8600,120.37,98.15,113.95
212.1,6193,218.83,209.85,212.03
249.9,6763,263.14,244.33,244.99
379.93,3477,395.56,378.53,381.54
359.46,2989,366.77,357.24,362.85
168.68,7008,176.13,167.06,163.93
394.73,9651,404.31,390.96,394.66
162.25,8485,166.49,144.6,157.59
282.57,6561,301.19,276.18,286.31
331.5,7309,345.9,321.38,328.1
448.27,6571,457.51,438.02,443.86
352.53,7288,355.85,332.62,356.11
481.94,3514,499.07,474.01,481.38
497.8,4754,507.99,491.76,493.75
303.53,8204,319.67,284.23,305.01
120.59,5507,122.23,108.33,122.65
111.33,9577,117.53,104.83,112.01
442.26,4493,455.08,435.8,440.58
299.94,5133,310.21,297.3,299.18
246.72,8385,253.32,235.14,251.27
213.78,4114,218.6,199.03,214.13
212.72,3165,219.45,202.7,211.69
129.13,3653,144.23,111.32,131.21
221.2,1197,225.69,211,216.96
357.92,7394,370.2,350.34,355.82
254.08,3515,263.13,248.32,251.35
479.13,8670,494.62,473.5,480.93
367.27,9295,372.1,360.25,368.31
445.59,3032,451.72,425.74,448.19
145.66,2257,154.24,137.81,144.93
280.21,7216,284.37,269.24,276.95
116.58,6281,126.34,110.36,113.4
458.01,6018,466.91,454.28,461.93
158.75,1336,178.56,145.48,154.5
422.17,6608,434.45,410.81,423.11
469.52,5292,471.84,467.24,466.84
276.76,1994,286.49,258.98,273.9
255.74,1099,273.44,245.1,251.73
340.05,3110,357.52,332.68,344.84
396.13,2020,415.41,380.32,391.74
358.24,4777,376.23,355.11,354.72
100.46,3331,104.81,90.46,99.11
414.37,1875,415.44,402.95,413.93
158.96,9173,171.66,143.23,163.46
279.87,8305,294.22,271.84,277.29
212.94,9610,216.44,195.7,215.15
471.16,6889,475.33,456.91,472.73
300.84,1990,320.14,285.19,301.02
308.86,3474,327.8,289.45,306.52
130.46,9875,134.44,113.41,127.03
458.94,1042,464.64,451.36,455.71
195.61,3035,213.56,182.34,194.07
265.58,4379,274.85,248.08,261.95
494.12,5242,510.28,483.14,499.1
145.56,5912,154.08,131.58,145.02
387.41,3428,402.4,383.14,387.8
204.05,4187,212.59,187.55,205.22
267.92,4740,286,252.52,264.87
267.28,1843,274.46,249.39,267.09
472.89,4278,483.83,458.4,468.52
104.14,2076,115.06,86.48,108.84
246.88,8265,260.21,242.8,246.61
440.97,7068,447.8,424.51,436.27
464.2,7800,477.42,445.1,465.2
224.53,7900,228.21,208.04,220.53
196.78,3295,214.76,184.09,199.68
284.51,3897,288.25,265.9,289.04
398.34,4927,415.3,395.54,402.5
161.62,8499,175.79,160.3,160.89
413.79,4107,421.27,394.45,415.91
305.07,8364,312.29,291.09,301.63
156.32,3231,175.68,153.15,152.08
368.7,9258,373.41,361.24,371.91
351.28,3080,366.02,336.05,353.23
348.95,6286,353.44,333.69,353.02
401.91,7841,420.12,397.68,406.06
172.49,2268,187.59,162.56,170.96
379,5691,397.72,362.66,377.19
454.92,9135,472.62,435.55,454.34
312.12,7762,323.56,299.3,313.78
294.41,8692,298.3,281.29,289.46
419.12,2874,424.32,409.2,419.46
158.49,1601,163.33,147.25,153.69
236.35,7259,241.54,233.47,235.86
441.51,8044,451.57,433.87,437.34
299.91,5780,317.4,289.27,300.53
436.17,8512,437.61,429.95,434.32
200.75,3582,206.28,192.91,200.54
255.83,1095,268.17,236.38,260.41
429.45,5220,446.89,428.35,427.86
165.4,9425,172.05,158.65,167.59
457.91,5677,466.18,445.82,459.74
223.95,7774,232.04,217.64,227.63
489.08,9213,495.66,475.23,487.42
431.09,3808,445.37,424.4,426.65
282.23,2235,295.69,269.11,286.94
396.9,9187,413.92,379.75,395.52
322.1,3522,340.54,308.59,319.04
441.3,8350,459.41,439.35,445.44
307.24,9609,318.51,291.13,304.15
495.2,1552,499.73,490.15,495.49
153.4,3587,158.62,140.34,155.96
370.59,8966,382.8,357.3,372.9
198.26,8700,216.71,181.99,193.56
176.49,6193,187.57,165.88,173.52
263.3,9227,282.08,255.16,267.19
246.98,7092,252.97,236.14,247.52
118.53,5065,121.17,107.16,120.41
271.09,9722,287.22,254.48,270.11
480.77,4089,498.48,475.87,483.22
286.75,7227,296.26,269.66,284.64
220.73,5800,223.67,212.78,218.05
479.63,1917,481.43,464.5,484.6
302.29,8889,304.48,294.91,298.87
214.84,7537,224.18,200.37,219.65
413.2,3067,418.66,397.01,417.46
189.45,3404,199.22,177.84,191.59
199.1,8317,209.38,186.33,199.92
